epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,248.978,1.14943,1.34855,1.13262,0.25375,0.13945,0.1584,0.11097,1.43615,4.0071,1.21221,0.000312497,0.000312497,0.000312497
43,254.949,1.15383,1.40068,1.14914,0.14546,0.16,0.15181,0.10844,1.40768,4.01115,1.20248,0.000307289,0.000307289,0.000307289
44,260.827,1.11716,1.28069,1.14564,0.19832,0.12667,0.11972,0.08623,1.44485,4.24381,1.225,0.000302082,0.000302082,0.000302082
45,266.706,1.17703,1.36735,1.14812,0.20425,0.16667,0.12198,0.0778,1.4988,4.07639,1.25437,0.000296874,0.000296874,0.000296874
46,272.624,1.13513,1.31591,1.13083,0.14353,0.21097,0.10458,0.06267,1.60865,4.34435,1.29299,0.000291667,0.000291667,0.000291667
47,278.537,1.1455,1.28623,1.13184,0.13214,0.22667,0.13156,0.09077,1.4954,4.0529,1.22185,0.00028646,0.00028646,0.00028646
48,284.463,1.15167,1.29786,1.1402,0.27088,0.19667,0.16146,0.10654,1.49369,3.99077,1.2409,0.000281252,0.000281252,0.000281252
49,290.381,1.18191,1.306,1.14512,0.2108,0.08426,0.10813,0.07441,1.47306,4.24833,1.25004,0.000276045,0.000276045,0.000276045
50,296.283,1.1292,1.24771,1.12018,0.22654,0.16057,0.13705,0.09721,1.41898,4.01128,1.22872,0.000270837,0.000270837,0.000270837
51,302.246,1.08563,1.20461,1.1045,0.18336,0.17667,0.13945,0.09271,1.51975,4.13249,1.22745,0.00026563,0.00026563,0.00026563
52,308.172,1.12995,1.17622,1.10535,0.17542,0.15667,0.12514,0.0889,1.46539,4.21204,1.22884,0.000260423,0.000260423,0.000260423
53,314.058,1.06111,1.12013,1.09371,0.18636,0.24601,0.12192,0.08434,1.43873,4.26094,1.19425,0.000255215,0.000255215,0.000255215
54,320.018,1.08293,1.1454,1.10186,0.19189,0.24667,0.13305,0.08094,1.39131,4.21895,1.17509,0.000250008,0.000250008,0.000250008
55,325.89,1.09037,1.13163,1.108,0.21338,0.18,0.13995,0.09275,1.35043,4.12622,1.17282,0.0002448,0.0002448,0.0002448
56,331.838,1.11559,1.14816,1.1154,0.20016,0.19667,0.11955,0.0803,1.4542,4.36806,1.19162,0.000239593,0.000239593,0.000239593
57,337.792,1.04989,1.09745,1.06389,0.20776,0.16,0.11221,0.0801,1.52844,4.28336,1.27533,0.000234386,0.000234386,0.000234386
58,343.729,1.08106,1.12143,1.08856,0.20977,0.12129,0.13847,0.09149,1.50528,4.36245,1.23778,0.000229178,0.000229178,0.000229178
59,349.642,0.99864,1.08916,1.0629,0.16284,0.15,0.12302,0.08706,1.46274,4.43571,1.23294,0.000223971,0.000223971,0.000223971
60,355.377,1.06664,1.12005,1.08185,0.27093,0.15,0.13201,0.09207,1.54253,4.39256,1.29302,0.000218763,0.000218763,0.000218763
61,361.543,1.03669,1.03585,1.0855,0.27089,0.19795,0.16742,0.12125,1.45863,4.45574,1.21811,0.000213556,0.000213556,0.000213556
62,367.724,1.01237,1.01061,1.05717,0.22402,0.20667,0.14751,0.11077,1.40226,4.27859,1.20705,0.000208349,0.000208349,0.000208349
63,373.57,0.97612,1.00975,1.04472,0.24862,0.24458,0.17159,0.12311,1.42715,4.24358,1.21013,0.000203141,0.000203141,0.000203141
64,379.643,1.00737,1.022,1.06809,0.2265,0.20442,0.14314,0.09904,1.42626,4.3965,1.19778,0.000197934,0.000197934,0.000197934
65,385.463,1.00969,1.01764,1.07662,0.25014,0.23854,0.16248,0.10966,1.48878,4.49713,1.22573,0.000192726,0.000192726,0.000192726
66,391.362,1.00473,0.95451,1.05334,0.17731,0.22667,0.15236,0.10017,1.46238,4.43255,1.23237,0.000187519,0.000187519,0.000187519
67,397.379,1.0004,0.93091,1.05055,0.2002,0.18,0.145,0.10167,1.41407,4.31815,1.22807,0.000182312,0.000182312,0.000182312
68,403.325,1.00086,0.94289,1.06755,0.20578,0.17121,0.14893,0.10704,1.39293,4.28146,1.21615,0.000177104,0.000177104,0.000177104
69,409.272,0.97379,0.94022,1.03445,0.26094,0.14911,0.1354,0.10341,1.32071,4.29594,1.17255,0.000171897,0.000171897,0.000171897
70,415.188,0.99508,0.93668,1.0407,0.27245,0.21259,0.15579,0.10693,1.3615,4.15477,1.20321,0.000166689,0.000166689,0.000166689
71,421.131,0.94187,0.86297,1.00866,0.1732,0.21784,0.14944,0.1015,1.37157,4.35646,1.20617,0.000161482,0.000161482,0.000161482
72,427.059,0.93588,0.83962,1.03085,0.25494,0.18333,0.16747,0.12051,1.37952,4.37007,1.21892,0.000156275,0.000156275,0.000156275
73,432.978,0.94864,0.88536,1.03192,0.25323,0.19721,0.1422,0.10505,1.36513,4.43789,1.21421,0.000151067,0.000151067,0.000151067
74,438.925,0.94336,0.90414,1.04081,0.24127,0.20333,0.13626,0.09912,1.34943,4.46462,1.2062,0.00014586,0.00014586,0.00014586
75,444.832,0.92645,0.83748,1.03801,0.26517,0.22679,0.13931,0.10465,1.40381,4.4907,1.21036,0.000140652,0.000140652,0.000140652
76,450.712,0.911,0.80856,1.01629,0.20913,0.22,0.14687,0.10523,1.47722,4.42621,1.23724,0.000135445,0.000135445,0.000135445
77,456.639,0.95354,0.89263,1.01794,0.20077,0.18665,0.14332,0.10337,1.4538,4.48529,1.21353,0.000130238,0.000130238,0.000130238
78,462.459,0.91634,0.83212,1.02216,0.20403,0.23389,0.14882,0.10959,1.41344,4.40842,1.19562,0.00012503,0.00012503,0.00012503
79,468.535,0.92495,0.80269,1.01525,0.23954,0.18445,0.1385,0.09871,1.45606,4.3636,1.22698,0.000119823,0.000119823,0.000119823
80,474.517,0.9116,0.81788,1.02808,0.16717,0.24008,0.14265,0.10613,1.4587,4.40918,1.23816,0.000114615,0.000114615,0.000114615
81,480.475,0.91219,0.82952,1.0117,0.19503,0.20695,0.12735,0.09576,1.48969,4.51558,1.25825,0.000109408,0.000109408,0.000109408
82,486.359,0.87684,0.79367,0.99282,0.19007,0.18181,0.11488,0.08717,1.49868,4.50382,1.26469,0.000104201,0.000104201,0.000104201
83,492.343,0.89449,0.79015,0.99661,0.20766,0.17833,0.11316,0.08472,1.52493,4.51132,1.27841,9.89932e-05,9.89932e-05,9.89932e-05
84,498.345,0.8752,0.80063,1.00595,0.23034,0.18584,0.14081,0.09808,1.54424,4.39304,1.29776,9.37858e-05,9.37858e-05,9.37858e-05
85,504.447,0.87682,0.77475,0.98883,0.22545,0.16924,0.15601,0.10379,1.56074,4.40193,1.3042,8.85784e-05,8.85784e-05,8.85784e-05
86,510.52,0.88142,0.77774,1.01192,0.26403,0.15333,0.14008,0.09971,1.52805,4.51337,1.2818,8.3371e-05,8.3371e-05,8.3371e-05
87,516.447,0.86629,0.78108,1.00012,0.19318,0.209,0.14632,0.10262,1.5018,4.45759,1.28,7.81636e-05,7.81636e-05,7.81636e-05
88,522.466,0.85713,0.7529,0.99163,0.2038,0.19307,0.15694,0.11725,1.4853,4.52542,1.26391,7.29562e-05,7.29562e-05,7.29562e-05
